,z_y_1_iteration,z_y_2_iteration,z_y_3_iteration,z_y_4_iteration,z_y_5_iteration,z_y_6_iteration,z_y_7_iteration,z_y_8_iteration,z_y_9_iteration,z_y_10_iteration,z_y_11_iteration,z_y_12_iteration,z_y_13_iteration,z_y_14_iteration,z_y_15_iteration,z_y_16_iteration,z_y_17_iteration,z_y_18_iteration,z_y_19_iteration,z_y_20_iteration,z_y_21_iteration,z_y_22_iteration,z_y_23_iteration,z_y_24_iteration,z_y_25_iteration,z_y_26_iteration,z_y_27_iteration,z_y_28_iteration,z_y_29_iteration,z_y_30_iteration,z_y_31_iteration,z_y_32_iteration,z_y_33_iteration,z_y_34_iteration,z_y_35_iteration,z_y_36_iteration,z_y_37_iteration,z_y_38_iteration,z_y_39_iteration,z_y_40_iteration,z_y_41_iteration,z_y_42_iteration,z_y_43_iteration,z_y_44_iteration,z_y_45_iteration,z_y_46_iteration,z_y_47_iteration,z_y_48_iteration,z_y_49_iteration,z_y_50_iteration
0,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
1,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
2,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
3,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
4,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
5,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
6,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
7,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
8,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
9,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
10,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
11,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
12,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
13,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
14,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
15,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
16,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
17,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
18,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
19,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
20,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
21,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
22,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
23,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
24,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
25,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
26,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
27,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
28,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
29,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
30,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
31,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
32,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
33,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
34,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
35,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
36,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
37,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
38,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
39,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
40,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
41,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
42,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
43,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
44,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
45,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
46,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
47,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
48,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
49,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
50,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
51,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
52,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
53,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
54,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
55,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
56,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
57,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
58,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
59,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
60,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
61,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
62,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
63,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
64,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
65,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
66,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
67,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
68,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
69,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
70,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
71,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
72,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
73,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
74,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
75,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
76,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
77,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
78,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,3,1,2,1,1,0,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,0
