,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,Z,C,y,true_sf
0,-7.772540462448721,-7.50905661479218,-6.829826702702756,-6.824732908140179,-6.587540977744801,-7.992519579114271,-6.0406364375592405,-6.740136562563157,-6.1493662222831285,-6.264072172338593,-6.814121180411827,-7.318429640550649,-7.853022826375388,-6.597344716119926,-7.539377428797343,-6.46713793571842,-6.519383698873268,-7.703720983143608,-7.063767015989677,-6.254183612916362,-6.575476545589892,-6.358366505176606,-6.461786245125067,-7.618095806435331,-6.304114611099623,-7.509273987992366,-6.309450942586838,-7.795089213031646,-7.46083620119498,-6.27558497227867,-7.044766109561578,-7.395715693559621,-7.647554392108096,-7.85708391973693,-6.82344882754876,-7.175901996516405,-6.780211444649944,-5.998271389022822,-6.884787302917432,-7.859571955063271,-7.5046926363014865,-6.490650063375705,-6.304941511181397,-7.275517108743873,-6.460711464306582,-6.035423077103099,-7.215337206418715,-7.641177528073955,-7.345858992695995,-6.6936261240959025,0.0,0.0,3146.3913098968333,0.9683172948931489
1,-7.895567905792931,-7.3785867963249165,-6.607135275383236,-6.3024691703526035,-6.320566465855405,-7.545640969089907,-6.466178742084566,-7.067832420509828,-6.503076314983048,-6.368782622134908,-6.94240290011615,-7.119271524772958,-7.657174014249121,-6.664739826171544,-7.882814526365841,-5.961678202611751,-6.64074716841963,-7.757619111679836,-7.132687136336166,-6.302619719463516,-6.558152304605233,-5.9848740972444805,-6.270207863235732,-7.541573442862051,-5.9542470012757,-7.656614811823944,-6.308242403929234,-8.040669216519928,-7.525315703908411,-6.672329078639265,-7.454668962220976,-7.240421581487431,-7.898052542965629,-7.85597321391264,-6.444563862009075,-6.9818132820015695,-6.68224821377093,-6.053542309999337,-6.886196321101274,-7.913793402904894,-7.677233618168047,-6.2985515119129,-6.197539987484549,-7.0316365923854365,-6.519681042481703,-6.31253336434094,-6.919317394271113,-7.647739527418449,-7.348641255462102,-6.404031168029478,0.0,0.0,3137.3256393696156,0.9498304976927077
2,-7.985461599478088,-7.796436376758733,-6.82046697585022,-6.812609428609152,-6.630695695266591,-7.546904419907596,-6.152629295978615,-6.750195066498831,-6.379919564826176,-6.535134021718362,-6.9847689372338735,-7.218160434684051,-7.575801720516375,-6.669402348689853,-7.775783144365986,-6.266065645273476,-6.623485026793514,-7.823654004877016,-7.082019158574673,-6.383844728587157,-6.302811010924426,-6.196770896842599,-5.904605566457216,-7.612017032074677,-6.130015866901888,-7.593098490816325,-5.859889362784209,-7.702416884892014,-7.394099049900519,-6.357795527654879,-7.414272051291733,-7.633515129830183,-7.339981035369266,-7.771530873350642,-6.642936650041584,-6.8738120995160195,-6.622946823120978,-6.214339799892641,-6.805667131658591,-7.68279827901201,-7.5730061499674495,-6.417581450971859,-6.3803755242784,-7.199146461546366,-6.486785396537198,-6.418844464815583,-7.01338212435534,-7.743899241890933,-7.351534646433902,-6.945285328944607,0.0,0.0,3309.8195519091114,0.8806983449802704
3,-8.042148542041607,-7.553794874882699,-6.600386020703516,-6.177078475642279,-6.46593253871403,-7.74144522063221,-6.175308768362245,-6.988258909947961,-6.317050536306726,-6.157114266776543,-6.984092256577939,-7.1476086767025055,-7.602200274229557,-6.6539717584914975,-7.985711863575814,-6.421347536072245,-6.312180444494207,-7.842069067171223,-7.0366009221072385,-6.274147283293953,-6.57143074620392,-6.173523294278731,-6.050605851632513,-7.171765072670572,-6.116613766734992,-7.569937614092415,-6.214198681961267,-7.860451839618801,-7.360281676807033,-6.538738558141053,-7.424078614536457,-7.4973381280772555,-7.611251968443472,-7.861513600832187,-6.233957806399147,-6.646931814623674,-6.736835182593412,-6.143894405900091,-6.791608458717535,-7.380789146388723,-7.591846180008626,-6.09251297688269,-5.90323250804505,-7.192546768235606,-6.462644009513594,-5.915618471695453,-6.977696962136813,-7.5870988413148215,-7.451664143369276,-6.680082036294171,0.0,0.0,3077.2803557249217,0.890985232900966
4,-7.8731233223411206,-7.692266907435912,-6.714189748808526,-6.561607873804424,-6.734057658114033,-7.306903255712274,-6.018782648229906,-6.833030978595708,-6.204159287301286,-6.252357456401951,-6.773603276838589,-7.69405914517142,-7.535323251937185,-6.707217693840165,-7.832358579230192,-6.496607938964439,-6.841495745046143,-7.856977521009746,-7.179440301865611,-6.468193082646206,-6.45050325101468,-6.124647533144844,-6.615956752114399,-7.589222241986711,-5.9840056898586935,-7.295161531964674,-6.036745131587787,-7.998930393445362,-7.499513290859506,-6.381506683945851,-7.497772001161465,-7.383951537309158,-7.500885907499205,-7.919083944400096,-6.053083213871631,-6.721368632148697,-6.607982018462891,-6.280490292956344,-6.7411522093535305,-7.9005253013795524,-7.82075982296182,-6.470810066408507,-6.022752987419623,-7.338961093905635,-6.542556008112507,-6.226781486184869,-6.87275029683437,-7.622431472700688,-7.2913109614755935,-6.776940318121791,0.0,0.0,3405.7116713658743,0.8000672713489945
5,-7.708909197805633,-7.681078581342753,-6.622319257299542,-6.364580754466131,-6.450453718407094,-7.847126564096633,-5.982843371876135,-6.564102048668873,-6.413057801778871,-6.148660222888612,-6.925006483051685,-7.393254112596042,-7.434176072880747,-6.552662080332123,-7.693387792369822,-6.550546857318676,-7.008934275470402,-7.788196967895378,-7.029105016664735,-6.114551390454595,-6.5870665623940265,-6.019071727981729,-5.988395551935376,-7.377856844277407,-6.477743639203941,-7.34517852249944,-6.247948824112301,-7.647925298096993,-7.583020483032019,-6.718123969570892,-7.395128487444522,-7.5178358936950564,-7.552876939163709,-7.792241595636778,-6.322623560016827,-6.869897843956837,-6.7890628311616945,-5.927455557345706,-6.752586478699376,-7.638421571507767,-7.292009906272311,-6.375224042712389,-6.001610275166183,-7.106666590351008,-6.668119839063475,-6.151781718021228,-6.869395515606408,-7.689002603884685,-7.3949514891641766,-6.665909560043976,0.0,0.0,2963.2055474492554,0.9627097387540321
6,-7.677282082891568,-7.290022708978514,-6.6219861921964425,-6.481049658343734,-6.350087430401856,-7.475972997308572,-6.115094087256933,-6.484977192651438,-6.3491924549356895,-6.152142225909459,-6.820776066344377,-7.3280711811766786,-7.88857998144944,-6.4791399238417124,-7.889425564706579,-6.361173417491438,-6.705936583050855,-7.786087214978064,-7.193391933886996,-6.257590372882714,-6.746080718230149,-6.4497159728375495,-6.558828592822796,-7.795222249032688,-6.268912995310591,-7.401769795800441,-6.3831289196134575,-7.635852620208359,-7.557815924229871,-6.62310603206401,-7.0318300279139985,-7.597960199828617,-7.807693104528782,-7.77589770679229,-6.524561674527767,-6.869497002089635,-6.657758575495377,-6.136862616648326,-6.771144564373614,-7.639128836524454,-7.635313190976329,-6.580456594080966,-5.89875082677283,-7.183103852643057,-6.431619841152178,-6.456117004330301,-6.959957621665164,-7.557324078660107,-7.424352227921842,-6.5729591832178835,0.0,0.0,3267.772812432193,0.8671311217339631
7,-7.5778660702576595,-7.1946621077418405,-6.595829701264487,-6.081062914885719,-6.5740778001606515,-7.558789333070983,-6.2125671742701165,-6.660975335809243,-6.295305527657917,-6.299839498989927,-7.365478920560441,-7.18694136387571,-7.630765693486446,-6.472284500339905,-7.771452241228515,-6.817348029007753,-6.689116977268785,-7.909227498342252,-6.990186172749673,-6.129062587404729,-6.516619425206438,-6.104061672186833,-6.1818902762513455,-7.793685070407254,-5.93208951902977,-7.540652529333766,-6.179057503624189,-7.69092425812912,-7.39327026305596,-6.656417465052774,-7.434861948598859,-7.387778412114515,-7.444715179178389,-7.9282270369413945,-6.320138374353121,-6.730284703379324,-6.585785135858541,-5.970911299496114,-7.140378801074487,-8.061885027700434,-7.695039047316532,-6.521677769438701,-5.964094038753802,-7.2423808029306285,-6.246611625089621,-5.998109309160022,-7.133447277357946,-8.009460970171455,-7.4378551462375,-6.831186045505739,0.0,0.0,3207.5176917683666,0.8924823186840941
8,-7.78102605947153,-7.663745569087812,-6.663610841074807,-6.464421520128867,-6.897486625106265,-7.570695977661492,-6.329489949614468,-6.779232089602692,-5.983266712583021,-6.41263013521623,-7.038754452031431,-7.347828707210602,-7.729836383575261,-6.45579894542,-7.763137661464698,-6.502015545177474,-6.422880798064892,-7.8604752887440466,-7.210348105752248,-6.523124292519409,-6.410882897666706,-6.137540264288442,-6.435892230790797,-7.3209103249426395,-5.770315065085938,-7.434636755006309,-6.256457656481992,-7.682330727914188,-7.365561455652657,-6.686086628023889,-7.393146842111239,-7.577768452107332,-7.740941531775876,-7.8809509839752225,-6.602478340962745,-7.044723588705578,-6.64471105002367,-6.060035242676407,-7.06827187607195,-7.726802766196723,-7.654714375323768,-6.5873414743929,-5.84643297512794,-7.471080263472467,-6.6368265446595105,-5.909808651750342,-6.812753309445104,-7.708940464505956,-7.32311318085357,-6.630368727140293,0.0,0.0,3300.564277363611,0.8838418901935807
9,-7.970874761190854,-7.469175583335001,-6.831686278913932,-6.2558693026192875,-6.3612755044520535,-7.576220182398324,-6.216706409639814,-6.786176113716667,-6.569444251180226,-6.768843534438788,-7.014999359044235,-7.492682205809557,-7.6766330810890615,-6.446998282485289,-7.737225624281084,-6.391100304391119,-6.888929050277017,-7.721924298461566,-7.357877467897809,-6.600909715011088,-6.267640199700751,-6.300704092489689,-6.553184089093658,-7.58460404691075,-6.374390848894295,-7.4728769205746275,-6.241590877442407,-7.784174947373128,-7.539775915536572,-6.532005622012158,-7.40814958571275,-7.776017826257642,-7.484466960339984,-7.959382453552282,-6.598537150283666,-6.815410208357453,-6.794602046117811,-6.13196813836773,-6.942707474982851,-7.947295054888678,-7.605636582291416,-6.576504167663583,-5.992449353873911,-7.173696389544042,-6.5276982374108385,-5.888098150824316,-7.024496890199661,-7.624095537200117,-7.424676552087369,-6.543679719531612,0.0,0.0,3183.073581078984,0.978330303537182
